reactant_1,reactant_2,product,Yield
CC(C)(C)NNC(C)(C#N)C1CC1,O=C1CCCCCC1,CC(C)(C)NNC1(C#N)CCCCCC1,95.0
CC(C)N,O=C1CCC(c2ccc(OCC3CO3)cc2)=NN1,CC(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1,100.0
CO,O=C(O)CCC(=O)c1ccccc1O,COC(=O)CCC(=O)c1ccccc1O,98.0
CC(=O)c1ccc2c(c1)C(C)(C)c1cccnc1O2,[OH-],CC1(C)c2cc(C(=O)O)ccc2Oc2ncccc21,78.6
CSc1ccc(N=C=O)cc1,OCc1cccnc1,CSc1ccc(NC(=O)OCc2cccnc2)cc1,95.0
C1=NCCCC1,COc1ccc(OC)c(C(C)=O)c1,COc1ccc(OC)c(C(=O)CC2CCCCN2)c1,85.1
Cc1cc(O)c(SCc2ccc(F)cc2)c(=O)o1,OO,Cc1cc(O)c(S(=O)Cc2ccc(F)cc2)c(=O)o1,60.0
CC(=O)c1ccco1,Nc1ccc(Cl)c(Cl)c1,CC(=O)c1ccc(-c2ccc(Cl)c(Cl)c2)o1,35.3
O=C1c2ccccc2C(=O)c2ccccc21,O=[N+]([O-])O,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],96.0
O=C1c2ccccc2C(=O)c2ccccc21,O=[N+]([O-])O,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],74.5
C=CC=C,Cc1ccc(C)cc1,C=CC(C)Cc1ccc(C)cc1,8.0
COc1ccc2c(c1)CCC(=O)C2CC(=O)c1ccccc1,Nc1ccc(O)c(C(=O)O)c1,COc1ccc2c(c1)CCc1c-2cc(-c2ccccc2)n1-c1ccc(O)c(C(=O)O)c1,67.0
BrBr,O=C1CN2Cc3c(Cl)cccc3N=C2N1,O=C1CN2Cc3c(ccc(Br)c3Cl)N=C2N1,78.0
CC(=O)O,Cc1ccc(C)c(O)c1C,CC1=CC(=O)C(C)=C(C)C1=O,94.7
Cc1ccc(C)c(O)c1C,O,CC1=CC(=O)C(C)=C(C)C1=O,28.6
CCC#N,O=C(O)c1ccccc1CCc1ccc(Cl)cc1,CC(C#N)c1ccc(CCc2ccccc2C(=O)O)cc1,43.9
