,reactant_1,reactant_2,product,Yield
0,CC(C)(C)NNC(C)(C#N)C1CC1,O=C1CCCCCC1,CC(C)(C)NNC1(C#N)CCCCCC1,95.0
1,CC(C)N,O=C1CCC(c2ccc(OCC3CO3)cc2)=NN1,CC(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1,100.0
2,CO,O=C(O)CCC(=O)c1ccccc1O,COC(=O)CCC(=O)c1ccccc1O,98.0
3,CC(=O)c1ccc2c(c1)C(C)(C)c1cccnc1O2,[OH-],CC1(C)c2cc(C(=O)O)ccc2Oc2ncccc21,78.6
4,CSc1ccc(N=C=O)cc1,OCc1cccnc1,CSc1ccc(NC(=O)OCc2cccnc2)cc1,95.0
7,C1=NCCCC1,COc1ccc(OC)c(C(C)=O)c1,COc1ccc(OC)c(C(=O)CC2CCCCN2)c1,85.1
8,Cc1cc(O)c(SCc2ccc(F)cc2)c(=O)o1,OO,Cc1cc(O)c(S(=O)Cc2ccc(F)cc2)c(=O)o1,60.0
9,CC(=O)c1ccco1,Nc1ccc(Cl)c(Cl)c1,CC(=O)c1ccc(-c2ccc(Cl)c(Cl)c2)o1,35.3
12,O=C1c2ccccc2C(=O)c2ccccc21,O=[N+]([O-])O,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],96.0
13,O=C1c2ccccc2C(=O)c2ccccc21,O=[N+]([O-])O,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],74.5
15,C=CC=C,Cc1ccc(C)cc1,C=CC(C)Cc1ccc(C)cc1,8.0
16,COc1ccc2c(c1)CCC(=O)C2CC(=O)c1ccccc1,Nc1ccc(O)c(C(=O)O)c1,COc1ccc2c(c1)CCc1c-2cc(-c2ccccc2)n1-c1ccc(O)c(C(=O)O)c1,67.0
17,BrBr,O=C1CN2Cc3c(Cl)cccc3N=C2N1,O=C1CN2Cc3c(ccc(Br)c3Cl)N=C2N1,78.0
18,CC(=O)O,Cc1ccc(C)c(O)c1C,CC1=CC(=O)C(C)=C(C)C1=O,94.7
19,Cc1ccc(C)c(O)c1C,O,CC1=CC(=O)C(C)=C(C)C1=O,28.6
22,CCC#N,O=C(O)c1ccccc1CCc1ccc(Cl)cc1,CC(C#N)c1ccc(CCc2ccccc2C(=O)O)cc1,43.9
24,CCOC(=O)C1C(=O)NCC1c1ccc2c(c1)OCO2,COc1ccc(CCl)cc1OC,CCOC(=O)C1(Cc2ccc(OC)c(OC)c2)C(=O)NCC1c1ccc2c(c1)OCO2,75.4
25,CCOC(=O)C=C1NCCN1,CCOC(=O)CC(=O)C=Cc1cccs1,CCOC(=O)C1=C(C)N2CCNC2=C(C(=O)OCC)C1Cc1cccs1,72.0
26,NN,Nc1nc2c(Cl)cccc2s1,NNc1nc2c(Cl)cccc2s1,78.0
27,CCC1CCCC(C)C1=O,COCC(C)N,CCC1CCCC(C)C1=NC(C)COC,50.2
28,CC(C)=O,FC(F)(F)SCl,CC(=O)CSC(F)(F)F,69.0
29,CC(=CCO)CCC=C(C)CCC(=O)C(C)C,CC(=O)OC(C)=O,CC(=O)OCC=C(C)CCC=C(C)CCC(=O)C(C)C,94.7
30,CC=O,Clc1cc(Br)ccc1-c1ccccc1,CC(O)c1ccc(-c2ccccc2)c(Cl)c1,61.6
32,CC(C)(C)OC(=O)C=O,O=C1NC(SCC#Cc2ccc(F)cc2)C1NC(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)C(O)N1C(=O)C(NC(c2ccccc2)(c2ccccc2)c2ccccc2)C1SCC#Cc1ccc(F)cc1,75.1
33,CCOC(=O)CSc1nc(Cl)cc(Cl)n1,Cc1cc(C)c(N)c(C)c1,CCOC(=O)CSc1nc(Cl)cc(Nc2c(C)cc(C)cc2C)n1,44.1
34,CCOC(=O)CSc1nc(Cl)cc(Cl)n1,Nc1ccc(-c2ccccc2)cc1,CCOC(=O)CSc1nc(Cl)cc(Nc2ccc(-c3ccccc3)cc2)n1,39.1
35,CCOC(=O)CSc1nc(Cl)cc(Cl)n1,Clc1ccc(N2CCNCC2)cc1,CCOC(=O)CSc1nc(Cl)cc(N2CCN(c3ccc(Cl)cc3)CC2)n1,62.5
36,CCNCC,O=S(=O)(Cl)c1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12,CCN(CC)S(=O)(=O)c1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12,97.0
39,CN1C2CCC1CNC2,O=C(O)C1CCCCC1,CN1C2CCC1CN(C(=O)C1CCCCC1)C2,66.8
40,CCOC(=O)CC(=N)N,O=Cc1ccccc1[N+](=O)[O-],CCOC(=O)C1=C(N)NC(N)=C(C(=O)OCC)C1c1ccccc1[N+](=O)[O-],56.0
41,CCOCC(=O)Cl,CNC(=S)NN,CCOCC1N=NC(=S)N1C,65.8
43,CCc1cc(C(=O)c2ccccc2Cl)c(-n2c(C)nnc2CO)s1,O=S(Cl)Cl,CCc1cc(C(=O)c2ccccc2Cl)c(-n2c(C)nnc2CCl)s1,88.5
44,CCOC(=S)N(CC(C)C)CC(C)C,CCOS(=O)(=O)OCC,CCSC(=O)N(CC(C)C)CC(C)C,92.0
45,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)C(C(=O)O)=CS[C@H]12,Sc1ccccc1,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)C(C(=O)Sc3ccccc3)=CS[C@H]12,66.5
49,C1CC2CNCC1O2,O=C(Cl)c1cccnc1,O=C(c1cccnc1)N1CC2CCC(C1)O2,46.0
50,CCN=C=S,NC1CCCc2ccccc21,CCNC(=S)NC1CCCc2ccccc21,50.3
53,CS(N)(=O)=O,O=C(Cl)CCCCBr,CS(=O)(=O)NC(=O)CCCCBr,74.8
55,CNC(=S)Nc1ccccc1,NO,CNC(=NO)Nc1ccccc1,19.7
56,CC(C)(C)OO,Cc1ccc(OC(=O)CCC(=O)Cl)cc1,Cc1ccc(OC(=O)CCC(=O)OOC(C)(C)C)cc1,92.8
